SITE_NAME,DESCRIPTION,STATION_NAME,TRAMP_FARM_NAME,DATE_COLLECTED,LABORATORY_SAMPLE_NUMBER,AG-110M,AM-241,AM-241_chem,C-14,C-14_N,CE-144,CM-242,CM-243+244,CO-57,CO-58,CO-60,CR-51,CS-134,CS-137,CS-137+CS-134,EU-154,EU-155,H-3,I-125,I-129,I-131,K-40,MN-54,NB-95,NP-237,OBT,P-32,PB-210,PM-147,PO-210,PU-238,PU-239+240,PU-241,RA-226,RU-103,RU-106,S-35,SB-124,SB-125,SE-75,SR-90,TC-99,TH-228,TH-230,TH-232,TOTAL BETA,U-234,U-235,U-238,ZN-65,ZR-95
Aldermaston,UMK-Unpasteurised Milk,N/A,AD11,2016-08-15,201631553,<0.065,<0.1,N/A,N/A,N/A,<0.3,N/A,N/A,N/A,N/A,<0.063,N/A,<0.067,<0.05,N/A,<0.13,<0.18,N/A,N/A,N/A,N/A,47?4.1,N/A,<0.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.11,<0.48,N/A,N/A,<0.11,<0.089,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.057
Aldermaston,UMK-Unpasteurised Milk,N/A,AD11,2016-08-15,201631554,N/A,N/A,<0.000038,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.000018,<0.000023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aldermaston,UMK-Unpasteurised Milk,N/A,AD12,2016-08-15,201631556,<0.081,<0.085,N/A,N/A,N/A,<0.36,N/A,N/A,N/A,N/A,<0.018,N/A,<0.063,<0.054,N/A,<0.18,<0.12,N/A,N/A,N/A,N/A,44?3.8,N/A,<0.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.076,<0.32,N/A,N/A,<0.12,<0.086,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.092
Aldermaston,UMK-Unpasteurised Milk,N/A,AD12,2016-08-15,201631557,N/A,N/A,<0.000022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<4.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.000021,<0.000027,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aldermaston,UMK-Unpasteurised Milk,N/A,AD11,2016-11-15,201634061,<0.04,<0.087,N/A,N/A,N/A,<0.33,N/A,N/A,N/A,N/A,<0.072,N/A,<0.073,<0.05,N/A,<0.2,<0.11,N/A,N/A,N/A,N/A,48?4.2,N/A,<0.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.096,<0.56,N/A,N/A,<0.15,<0.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.14
Aldermaston,UMK-Unpasteurised Milk,N/A,AD11,2016-11-15,201634062,N/A,N/A,<0.00003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<2.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.00002,<0.00002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aldermaston,UMK-Unpasteurised Milk,N/A,AD12,2016-11-15,201634065,<0.077,<0.12,N/A,N/A,N/A,<0.42,N/A,N/A,N/A,N/A,<0.066,N/A,<0.11,<0.091,N/A,<0.3,<0.13,N/A,N/A,N/A,N/A,49?4.6,N/A,<0.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.21,<0.27,N/A,N/A,<0.14,<0.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.24
Aldermaston,UMK-Unpasteurised Milk,N/A,AD12,2016-11-15,201634066,N/A,N/A,<0.000013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<2.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.000019,0.0000084?0.0000098,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aldermaston,WHT - Wheat,N/A,CROP,2016-08-23,201630863,<0.057,<0.14,0.0001?0.000041,N/A,N/A,<0.25,N/A,N/A,N/A,N/A,<0.05,N/A,<0.044,<0.042,N/A,<0.17,<0.14,<8.9,N/A,N/A,N/A,140?9.8,N/A,<0.047,N/A,N/A,N/A,N/A,N/A,N/A,<0.000055,0.000032?0.000033,N/A,N/A,<0.045,<0.35,N/A,N/A,<0.097,<0.055,N/A,N/A,N/A,N/A,N/A,N/A,0.0027?0.002,<0.00023,0.002?0.002,N/A,<0.078
Amersham,APE - Apple,N/A,CROP,2016-08-10,201630718,<0.062,<0.067,N/A,N/A,N/A,<0.2,N/A,N/A,N/A,N/A,<0.042,N/A,<0.054,<0.044,N/A,<0.11,<0.13,<2,<0.033,N/A,N/A,33?3,N/A,<0.056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.052,<0.37,<0.2,N/A,<0.13,<0.068,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.067
